Schema Version,Order of entry,Record Type,Session Label,Session ID,Metadata Field,Metadata Value,Event,Date,Location,Chair,Vice-Chair,Secretary,Treasurer,Arranger(s),Chaplain,Memorial Lesson Leader,Book,SingLoud Code,Leader(s),Canonical Leader(s),Page,Song,Tag,Notes,Marker,Timestamp ISO,Time entered
4,1,session,"Thursday, June 15",skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,,,,,,,,,,2026-07-20T16:34:30.782Z,4:34 PM
4,2,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM,Buell Cobb,,31b,,,Called the class to order; Tom Owen led the morning prayer,,2026-07-20T16:34:30.800Z,4:34 PM
4,3,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM,Mark Davis,,61,,,,,2026-07-20T16:34:30.820Z,4:34 PM
4,4,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM,Kathy Williams,,539,,,,,2026-07-20T16:34:30.839Z,4:34 PM
4,5,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM,Mike Hinton,,373,,,,,2026-07-20T16:34:30.863Z,4:34 PM
4,6,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM,John Redman,,236,,,,,2026-07-20T16:34:30.885Z,4:34 PM
4,7,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM,Don Bowen,,99,,,,,2026-07-20T16:34:30.904Z,4:34 PM
4,8,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM,Henry Guthery,,39b,,,,,2026-07-20T16:34:30.928Z,4:34 PM
4,9,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM,Latisha Crocker,,490,,,,,2026-07-20T16:34:30.959Z,4:34 PM
4,10,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM,J.L. Hopper,,198,,,,,2026-07-20T16:34:30.996Z,4:34 PM
4,11,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM,Kathy Robinson,,546,,,,,2026-07-20T16:34:31.033Z,4:34 PM
4,12,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM,Ottis Sides,,75,,,,,2026-07-20T16:34:31.052Z,4:34 PM
4,13,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM,Sherry Guthery,,340,,,,,2026-07-20T16:34:31.080Z,4:34 PM
4,14,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM,Frank Hataway,,565,,,,,2026-07-20T16:34:31.106Z,4:34 PM
4,15,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM,Kathleen Robbins,,535,,,,,2026-07-20T16:34:31.161Z,4:34 PM
4,16,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM,Donald Smith,,35,,,,,2026-07-20T16:34:31.202Z,4:34 PM
4,17,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM,Gaston White,,159,,,,,2026-07-20T16:34:31.252Z,4:34 PM
4,18,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM,Henry Johnson,,418,,,,,2026-07-20T16:34:31.309Z,4:34 PM
4,19,marker,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,,,,,,,,,RECESS,2026-07-20T16:34:31.338Z,4:34 PM
4,20,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM,Henry Guthery,,88t,,Call Back,Called the class back to order,,2026-07-20T16:34:31.376Z,4:34 PM
4,21,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM,Steven Schmidgall,,496,,,,,2026-07-20T16:34:31.428Z,4:34 PM
4,22,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM,Sheri Taylor,,84,,,,,2026-07-20T16:34:31.475Z,4:34 PM
4,23,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM,Willie Mae Moon,,217,,,,,2026-07-20T16:34:31.509Z,4:34 PM
4,24,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM,Judy Caudle,,234,,,,,2026-07-20T16:34:31.548Z,4:34 PM
4,25,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM,Odom Hawkins,,147t,,,,,2026-07-20T16:34:31.627Z,4:34 PM
4,26,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM,Betty Shaver,,454,,,,,2026-07-20T16:34:31.659Z,4:34 PM
4,27,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM,Bill Hogan,,207,,,,,2026-07-20T16:34:31.703Z,4:34 PM
4,28,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM,Pauline Childers,,384,,,,,2026-07-20T16:34:31.757Z,4:34 PM
4,29,song,,skjsg9vv,,,National Sacred Harp Convention,2000-06-15,"Trinity United Methodist Church, Birmingham, Alabama",Buell Cobb,Mark Davis,Kathy Williams,,"Catherine Oss, Rosemary Greenaway, Cindy Franklin",Tom Owen,,SHM1991,SHM,Bob Bonnell,,503,,,,,2026-07-20T16:34:31.802Z,4:34 PM
