Schema Version,Order of entry,Record Type,Session Label,Session ID,Metadata Field,Metadata Value,Event,Date,Location,Chair,Vice-Chair,Secretary,Treasurer,Arranger(s),Chaplain,Memorial Lesson Leader,Book,Edition Code,Leader(s),Canonical Leader(s),Page,Song,Tag,Notes,Marker,Timestamp ISO,Time entered
4,1,session,"Saturday, March 13",q24eq0fo,,,Western Massachusetts Sacred Harp Convention,1999-03-13,"Northampton Center for the Arts, Northampton, Massachusetts",Tim Eriksen,Cath Oss,Kelly House,,,,,,,,,,,,,,2026-07-20T16:28:59.362Z,4:28 PM
4,2,marker,,q24eq0fo,,,Western Massachusetts Sacred Harp Convention,1999-03-13,"Northampton Center for the Arts, Northampton, Massachusetts",Tim Eriksen,Cath Oss,Kelly House,,,,,,,Richard DeLong,,,,,Morning session was a singing school taught by Richard DeLong; the class was dismissed for lunch,SINGING SCHOOL,2026-07-20T16:28:59.399Z,4:28 PM
4,3,marker,,q24eq0fo,,,Western Massachusetts Sacred Harp Convention,1999-03-13,"Northampton Center for the Arts, Northampton, Massachusetts",Tim Eriksen,Cath Oss,Kelly House,,,,,,,Ruth Hooke,,,,,,LUNCH,2026-07-20T16:28:59.410Z,4:28 PM
4,4,song,,q24eq0fo,,,Western Massachusetts Sacred Harp Convention,1999-03-13,"Northampton Center for the Arts, Northampton, Massachusetts",Tim Eriksen,Cath Oss,Kelly House,,,,,SHM1991,SHM1991,Tim Eriksen,,52t,,,Called the afternoon session to order,,2026-07-20T16:28:59.426Z,4:28 PM
4,5,song,,q24eq0fo,,,Western Massachusetts Sacred Harp Convention,1999-03-13,"Northampton Center for the Arts, Northampton, Massachusetts",Tim Eriksen,Cath Oss,Kelly House,,,,,SHM1991,SHM1991,Tim Eriksen,,39t,,,,,2026-07-20T16:28:59.442Z,4:28 PM
4,6,song,,q24eq0fo,,,Western Massachusetts Sacred Harp Convention,1999-03-13,"Northampton Center for the Arts, Northampton, Massachusetts",Tim Eriksen,Cath Oss,Kelly House,,,,,SHM1991,SHM1991,Peter Irvine,,68b,,,,,2026-07-20T16:28:59.463Z,4:28 PM
4,7,song,,q24eq0fo,,,Western Massachusetts Sacred Harp Convention,1999-03-13,"Northampton Center for the Arts, Northampton, Massachusetts",Tim Eriksen,Cath Oss,Kelly House,,,,,SHM1991,SHM1991,Bradford West,,383,,,,,2026-07-20T16:28:59.488Z,4:28 PM
4,8,song,,q24eq0fo,,,Western Massachusetts Sacred Harp Convention,1999-03-13,"Northampton Center for the Arts, Northampton, Massachusetts",Tim Eriksen,Cath Oss,Kelly House,,,,,SHM1991,SHM1991,Eliza Cavanaugh,,228,,,,,2026-07-20T16:28:59.503Z,4:28 PM
4,9,song,,q24eq0fo,,,Western Massachusetts Sacred Harp Convention,1999-03-13,"Northampton Center for the Arts, Northampton, Massachusetts",Tim Eriksen,Cath Oss,Kelly House,,,,,OTHER,,Anna Maria Nygren,,,Page 30 (top or bottom uncertain in original minutes),,,,2026-07-20T16:28:59.525Z,4:28 PM
4,10,song,,q24eq0fo,,,Western Massachusetts Sacred Harp Convention,1999-03-13,"Northampton Center for the Arts, Northampton, Massachusetts",Tim Eriksen,Cath Oss,Kelly House,,,,,SHM1991,SHM1991,Jim Desmond,,218,,,,,2026-07-20T16:28:59.554Z,4:28 PM
4,11,song,,q24eq0fo,,,Western Massachusetts Sacred Harp Convention,1999-03-13,"Northampton Center for the Arts, Northampton, Massachusetts",Tim Eriksen,Cath Oss,Kelly House,,,,,SHM1991,SHM1991,Ruth Hooke,,198,,,,,2026-07-20T16:28:59.603Z,4:28 PM
4,12,song,,q24eq0fo,,,Western Massachusetts Sacred Harp Convention,1999-03-13,"Northampton Center for the Arts, Northampton, Massachusetts",Tim Eriksen,Cath Oss,Kelly House,,,,,SHM1991,SHM1991,Karen McArthur,,142,,,,,2026-07-20T16:28:59.642Z,4:28 PM
4,13,song,,q24eq0fo,,,Western Massachusetts Sacred Harp Convention,1999-03-13,"Northampton Center for the Arts, Northampton, Massachusetts",Tim Eriksen,Cath Oss,Kelly House,,,,,SHM1991,SHM1991,George Seiler,,168,,,,,2026-07-20T16:28:59.663Z,4:28 PM
4,14,song,,q24eq0fo,,,Western Massachusetts Sacred Harp Convention,1999-03-13,"Northampton Center for the Arts, Northampton, Massachusetts",Tim Eriksen,Cath Oss,Kelly House,,,,,SHM1991,SHM1991,Lynne deBenedette,,456,,,,,2026-07-20T16:28:59.687Z,4:28 PM
4,15,song,,q24eq0fo,,,Western Massachusetts Sacred Harp Convention,1999-03-13,"Northampton Center for the Arts, Northampton, Massachusetts",Tim Eriksen,Cath Oss,Kelly House,,,,,OTHER,,John Hinsdale,,,Page 569 (top or bottom uncertain in original minutes),,,,2026-07-20T16:28:59.708Z,4:28 PM
4,16,song,,q24eq0fo,,,Western Massachusetts Sacred Harp Convention,1999-03-13,"Northampton Center for the Arts, Northampton, Massachusetts",Tim Eriksen,Cath Oss,Kelly House,,,,,SHM1991,SHM1991,Jeff Colby,,148,,,,,2026-07-20T16:28:59.755Z,4:28 PM
4,17,song,,q24eq0fo,,,Western Massachusetts Sacred Harp Convention,1999-03-13,"Northampton Center for the Arts, Northampton, Massachusetts",Tim Eriksen,Cath Oss,Kelly House,,,,,SHM1991,SHM1991,Susan Bingham,,178,,,,,2026-07-20T16:28:59.801Z,4:28 PM
4,18,song,,q24eq0fo,,,Western Massachusetts Sacred Harp Convention,1999-03-13,"Northampton Center for the Arts, Northampton, Massachusetts",Tim Eriksen,Cath Oss,Kelly House,,,,,SHM1991,SHM1991,Ken Langley,,299,,,,,2026-07-20T16:28:59.848Z,4:28 PM
4,19,song,,q24eq0fo,,,Western Massachusetts Sacred Harp Convention,1999-03-13,"Northampton Center for the Arts, Northampton, Massachusetts",Tim Eriksen,Cath Oss,Kelly House,,,,,SHM1991,SHM1991,Sarah Smith,,146,,,,,2026-07-20T16:28:59.958Z,4:28 PM
4,20,song,,q24eq0fo,,,Western Massachusetts Sacred Harp Convention,1999-03-13,"Northampton Center for the Arts, Northampton, Massachusetts",Tim Eriksen,Cath Oss,Kelly House,,,,,SHM1991,SHM1991,Inga Knets,,33b,,,,,2026-07-20T16:28:59.990Z,4:28 PM
4,21,song,,q24eq0fo,,,Western Massachusetts Sacred Harp Convention,1999-03-13,"Northampton Center for the Arts, Northampton, Massachusetts",Tim Eriksen,Cath Oss,Kelly House,,,,,SHM1991,SHM1991,Max Berueffy,,328,,,,,2026-07-20T16:29:00.029Z,4:29 PM
4,22,song,,q24eq0fo,,,Western Massachusetts Sacred Harp Convention,1999-03-13,"Northampton Center for the Arts, Northampton, Massachusetts",Tim Eriksen,Cath Oss,Kelly House,,,,,SHM1991,SHM1991,Rosemary Greenaway,,47t,,,,,2026-07-20T16:29:00.106Z,4:29 PM
4,23,song,,q24eq0fo,,,Western Massachusetts Sacred Harp Convention,1999-03-13,"Northampton Center for the Arts, Northampton, Massachusetts",Tim Eriksen,Cath Oss,Kelly House,,,,,SHM1991,SHM1991,Cath Oss,,155,,,,,2026-07-20T16:29:00.164Z,4:29 PM
4,24,song,,q24eq0fo,,,Western Massachusetts Sacred Harp Convention,1999-03-13,"Northampton Center for the Arts, Northampton, Massachusetts",Tim Eriksen,Cath Oss,Kelly House,,,,,SHM1991,SHM1991,Jean Seiler,,217,,,,,2026-07-20T16:29:00.241Z,4:29 PM
4,25,song,,q24eq0fo,,,Western Massachusetts Sacred Harp Convention,1999-03-13,"Northampton Center for the Arts, Northampton, Massachusetts",Tim Eriksen,Cath Oss,Kelly House,,,,,SHM1991,SHM1991,Martha Lang,,106,,,,,2026-07-20T16:29:00.270Z,4:29 PM
4,26,song,,q24eq0fo,,,Western Massachusetts Sacred Harp Convention,1999-03-13,"Northampton Center for the Arts, Northampton, Massachusetts",Tim Eriksen,Cath Oss,Kelly House,,,,,SHM1991,SHM1991,Guy Banks,,444,,,,,2026-07-20T16:29:00.358Z,4:29 PM
4,27,song,,q24eq0fo,,,Western Massachusetts Sacred Harp Convention,1999-03-13,"Northampton Center for the Arts, Northampton, Massachusetts",Tim Eriksen,Cath Oss,Kelly House,,,,,SHM1991,SHM1991,Allison Schofield,,163t,,,,,2026-07-20T16:29:00.401Z,4:29 PM
4,28,marker,,q24eq0fo,,,Western Massachusetts Sacred Harp Convention,1999-03-13,"Northampton Center for the Arts, Northampton, Massachusetts",Tim Eriksen,Cath Oss,Kelly House,,,,,,,,,,,,,RECESS,2026-07-20T16:29:00.467Z,4:29 PM
4,29,song,,q24eq0fo,,,Western Massachusetts Sacred Harp Convention,1999-03-13,"Northampton Center for the Arts, Northampton, Massachusetts",Tim Eriksen,Cath Oss,Kelly House,,,,,SHM1991,SHM1991,Kelly House,,99,,Call Back,,,2026-07-20T16:29:00.554Z,4:29 PM
4,30,song,,q24eq0fo,,,Western Massachusetts Sacred Harp Convention,1999-03-13,"Northampton Center for the Arts, Northampton, Massachusetts",Tim Eriksen,Cath Oss,Kelly House,,,,,SHM1991,SHM1991,Duncan Vinson,,451,,,,,2026-07-20T16:29:00.683Z,4:29 PM
4,31,song,,q24eq0fo,,,Western Massachusetts Sacred Harp Convention,1999-03-13,"Northampton Center for the Arts, Northampton, Massachusetts",Tim Eriksen,Cath Oss,Kelly House,,,,,SHM1991,SHM1991,Mirjana Lausevic,,378b,,,,,2026-07-20T16:29:00.766Z,4:29 PM
4,32,song,,q24eq0fo,,,Western Massachusetts Sacred Harp Convention,1999-03-13,"Northampton Center for the Arts, Northampton, Massachusetts",Tim Eriksen,Cath Oss,Kelly House,,,,,SHM1991,SHM1991,Gary Smith,,34b,,,,,2026-07-20T16:29:00.824Z,4:29 PM
4,33,song,,q24eq0fo,,,Western Massachusetts Sacred Harp Convention,1999-03-13,"Northampton Center for the Arts, Northampton, Massachusetts",Tim Eriksen,Cath Oss,Kelly House,,,,,SHM1991,SHM1991,Aaron Girard,,183,,,,,2026-07-20T16:29:00.923Z,4:29 PM
